Network;admissibility_2;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
hypertext_2009;=43;=38.86725616455078;=28;=28;=98;=173.63184;=132.26367;=1;=2196;=113
ia-email-univ;=21;=9.622241973876953;=11;=11;=71;=762.1035;=293.1338;=1;=5451;=1133
ia-infect-dublin;=21;=13.487804412841797;=17;=17;=50;=276.05957;=157.0625;=1;=2765;=410
ia-reality;=12;=2.255837917327881;=5;=5;=261;=2635.9756;=803.31055;=1;=7680;=6809
infectious;=21;=13.487804412841797;=17;=17;=50;=274.5498;=157.04102;=1;=2765;=410
ingredients;=475;=197.46295166015625;=133;=136;=3426;=27386.898;=10230.609;=4;=431654;=4372
iscas89-s1196;=4;=2.848806381225586;=2;=2;=16;=162.95898;=127.80176;=1;=537;=377
iscas89-s1238;=5;=3.004807710647583;=2;=2;=18;=167.24023;=127.97754;=1;=625;=416
iscas89-s13207;=6;=2.7335474491119385;=4;=4;=37;=1273.0068;=440.71484;=1;=3406;=2492
iscas89-s1423;=3;=2.619385242462158;=2;=2;=17;=163.58008;=127.23535;=1;=554;=423
iscas89-s1488;=7;=3.3650107383728027;=3;=3;=53;=315.73242;=174.40332;=1;=779;=463
iscas89-s1494;=7;=3.365750551223755;=3;=3;=56;=316.10352;=174.40332;=1;=796;=473
iscas89-s15850;=4;=2.4662766456604004;=4;=4;=25;=1296.0342;=418.71484;=1;=4004;=3247
iscas89-s27;=1;=1.7777777910232544;=1;=1;=3;=84.46387;=84.46387;=1;=8;=9
iscas89-s298;=3;=2.8478260040283203;=2;=2;=11;=94.328125;=94.328125;=1;=131;=92
iscas89-s344;=3;=2.440000057220459;=2;=2;=9;=93.55469;=93.55469;=1;=122;=100
iscas89-s349;=3;=2.4901959896087646;=2;=2;=9;=94.15234;=94.15234;=1;=127;=102
iscas89-s35932;=2;=2.550699234008789;=2;=2;=1440;=5156.409;=1496.9844;=1;=15961;=12515
iscas89-s382;=4;=2.8965516090393066;=2;=2;=18;=105.421875;=105.421875;=1;=168;=116
iscas89-s38417;=6;=2.2389473915100098;=4;=4;=39;=5017.874;=1488.7031;=1;=10635;=9500
iscas89-s38584;=7;=2.735342025756836;=4;=4;=54;=5036.8076;=1503.332;=1;=12573;=9193
iscas89-s386;=4;=3.5087718963623047;=3;=3;=23;=106.00781;=106.00781;=1;=200;=114
iscas89-s400;=4;=3.0082645416259766;=2;=2;=19;=105.44141;=105.44141;=1;=182;=121
iscas89-s444;=4;=3.074626922607422;=2;=2;=19;=105.5;=105.5;=1;=206;=134
iscas89-s510;=4;=2.918604612350464;=2;=2;=12;=105.32422;=105.32422;=1;=251;=172
iscas89-s526;=4;=3.375;=3;=3;=12;=105.59766;=105.59766;=1;=270;=160
iscas89-s526n;=4;=3.3710691928863525;=3;=3;=12;=105.61426;=105.61426;=1;=268;=159
iscas89-s5378;=5;=2.3231749534606934;=3;=3;=10;=633.07227;=257.7041;=1;=1639;=1411
iscas89-s641;=4;=2.880000114440918;=3;=3;=12;=93.56641;=93.56641;=1;=144;=100
iscas89-s713;=4;=2.627737283706665;=3;=3;=12;=105.07031;=105.07031;=1;=180;=137
iscas89-s820;=9;=4.0167365074157715;=3;=3;=48;=160.27441;=129.69922;=1;=480;=239
iscas89-s832;=9;=4.065306186676025;=3;=3;=49;=161.36426;=129.52344;=1;=498;=245
iscas89-s9234;=4;=2.387909412384033;=4;=4;=18;=1243.7949;=419.5537;=1;=2370;=1985
iscas89-s953;=3;=2.7349398136138916;=2;=2;=12;=160.63379;=127.39453;=1;=454;=332
jazz;=30;=27.696969985961914;=29;=29;=100;=211.72363;=141.44922;=1;=2742;=198
karate;=4;=4.588235378265381;=4;=4;=17;=88.95117;=88.95117;=1;=78;=34
lederberg;=47;=9.978856086730957;=15;=15;=1103;=5968.1816;=1852.8818;=1;=41532;=8324
lesmiserables;=9;=6.597402572631836;=9;=9;=36;=94.70801;=94.70801;=1;=254;=77
link-pedigree;=2;=2.505568027496338;=2;=2;=14;=615.7012;=258.8369;=1;=1125;=898
linux;=106;=13.82999324798584;=23;=23;=9338;=25761.4;=8177.216;=1;=213217;=30834
livemocha;=610;=42.1329460144043;=92;=92;=2980;=163105.27;=49622.93;=1;=2193083;=104103
loc-brightkite_edges;=85;=7.353094577789307;=52;=52;=1134;=43914.914;=13050.879;=1;=214078;=58228
location;=16;=2.605013132095337;=5;=5;=12189;=84379.95;=23410.756;=1;=293697;=225486
mag_geology_coauthor;=31;=3.119192123413086;=13;=13;=1153;=1331825.5;=369765.78;=1;=4448428;=2852295
marvel;=58;=9.95079231262207;=18;=18;=1625;=12827.917;=3554.4307;=1;=96662;=19428
mg_casino;=9;=5.981651306152344;=9;=9;=94;=96.14551;=96.14551;=1;=326;=109
mg_forrestgump;=8;=5.765957355499268;=8;=8;=89;=95.3457;=95.3457;=1;=271;=94
mg_godfatherII;=8;=5.615384578704834;=8;=8;=34;=94.384766;=94.384766;=1;=219;=78
mg_watchmen;=7;=5.289473533630371;=7;=7;=33;=94.4834;=94.4834;=1;=201;=76
minnesota;=3;=2.5003786087036133;=2;=2;=5;=1257.377;=431.8662;=1;=3303;=2642
moreno_health;=12;=8.235526084899902;=7;=7;=27;=1525.8105;=484.667;=1;=10455;=2539
mousebrain;=141;=151.07041931152344;=111;=111;=205;=882.01465;=443.31836;=86;=16089;=213
movielens_1m;=554;=205.25527954101562;=131;=135;=3428;=69027.36;=22602.53;=1;=1000209;=9746
movies;=5;=3.8019802570343018;=3;=3;=19;=94.18555;=94.18555;=1;=192;=101
muenchen-bahn;=3;=2.586129665374756;=2;=2;=13;=172.25977;=126.31738;=1;=578;=447
munin;=3;=2.11027193069458;=3;=3;=66;=631.19727;=258.59863;=1;=1397;=1324
netscience;=19;=3.7535934448242188;=19;=19;=34;=659.9053;=263.9756;=1;=2742;=1461
offshore;=20;=3.628588914871216;=13;=13;=37336;=164611.63;=45987.688;=1;=505965;=278877
openflights;=52;=10.668254852294922;=28;=28;=242;=1808.7305;=588.6533;=1;=15677;=2939
p2p-Gnutella04;=23;=7.354542255401611;=7;=7;=103;=6104.8037;=1691.0684;=1;=39994;=10876
panama;=62;=2.5236380100250244;=62;=62;=7015;=321508.06;=90229.39;=1;=702437;=556686
paradise;=55;=2.9313488006591797;=23;=23;=35359;=324180.06;=92879.7;=1;=794545;=542102
photoviz_dynamic;=7;=3.244680881500244;=4;=4;=29;=165.0752;=127.98047;=1;=610;=376
pigs;=3;=2.4065041542053223;=2;=2;=39;=310.37598;=171.1289;=1;=592;=492
polblogs;=72;=27.312091827392578;=36;=36;=351;=1401.4463;=470.50586;=1;=16715;=1224
polbooks;=9;=8.399999618530273;=6;=6;=25;=97.87891;=97.87891;=2;=441;=105
pollination-carlinville;=53;=20.34000015258789;=18;=18;=157;=1365.7031;=453.0869;=1;=15255;=1500
pollination-daphni;=26;=7.360100269317627;=9;=9;=124;=419.45605;=198.23633;=1;=2933;=797
pollination-tenerife;=6;=3.7941176891326904;=4;=4;=17;=94.83984;=94.83984;=1;=129;=68
pollination-uk;=76;=33.96747970581055;=35;=35;=256;=1431.2334;=460.7832;=1;=16712;=984
ratbrain;=78;=91.5705795288086;=67;=67;=497;=1234.3486;=550.7969;=1;=23030;=503
reactome;=184;=46.64043045043945;=62;=62;=855;=9729.958;=3316.7832;=1;=147547;=6327
residence_hall;=21;=16.949308395385742;=11;=11;=56;=166.53027;=127.13086;=2;=1839;=217
rhesusbrain;=37;=25.239669799804688;=19;=19;=111;=281.8086;=160.76465;=1;=3054;=242
roget-thesaurus;=11;=7.223762512207031;=6;=6;=28;=684.7969;=281.4756;=1;=3648;=1010
seventh-graders;=16;=17.241378784179688;=13;=13;=28;=90.81543;=90.81543;=7;=250;=29
slashdot_threads;=74;=4.595579624176025;=13;=13;=2915;=22970.254;=6330.248;=1;=117378;=51083
soc-Epinions1;=268;=10.694395065307617;=67;=67;=3044;=53521.953;=16119.817;=1;=405740;=75879
soc-Slashdot0811;=232;=12.129782676696777;=54;=54;=2539;=57199.1;=16037.105;=1;=469180;=77360
soc-advogato;=86;=15.263015747070312;=25;=25;=807;=4113.993;=1200.2637;=1;=39432;=5167
soc-gplus;=38;=3.317589282989502;=12;=12;=2761;=10679.76;=3099.6396;=1;=39194;=23628
soc-hamsterster;=51;=13.709810256958008;=24;=24;=273;=1860.5156;=609.34863;=1;=16630;=2426
soc-wiki-Vote;=16;=6.555680751800537;=9;=9;=102;=415.82227;=194.75879;=1;=2914;=889
sp_data_school_day_2;=57;=46.54621887207031;=33;=33;=88;=429.12598;=200.84375;=8;=5539;=238
teams;=127;=2.9210755825042725;=9;=9;=2671;=648392.6;=180105.19;=1;=1366466;=935591
train_bombing;=10;=7.59375;=10;=10;=29;=96.336914;=96.336914;=1;=243;=64
tv_tropes;=655;=42.5020751953125;=115;=115;=12400;=261756.61;=80649.22;=1;=3232134;=152093
twittercrawl;=237;=84.69583892822266;=131;=132;=1084;=10744.149;=3414.4824;=1;=154824;=3656
